Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
2666 MHz,2 - 4 kg,14 iná,GDDR5,2 GB,Harici Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),,0,4,2 GHz,1366 x 768,Yok,32 GB,1 TB,Notebook,DÅüÅk
2666 MHz,2 kg ve Altç,14 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1165G7,Windows 10 Pro,Yok,1,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,YÅksek
3200 MHz,2 kg ve Altç,14 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1165G7,Windows 10 Home,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,Orta
3200 MHz,2 kg ve Altç,14 iná,GDDR5,2 GB,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 10 Pro,Yok,1,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,YÅksek
2666 MHz,1 - 2 kg,15,6 iná,DDR5,2 GB,Harici Ekran Kartç,TN,11.Nesil,1135G7,Windows 10 Home,Var,0,4,2 GHz,1366 x 768,Yok,8 GB,256 GB,Notebook,DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),,0,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,Orta
2666 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Var,32 GB,,Notebook,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,TN,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,TN,11.Nesil,1135G7,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,DDR5,2 GB,Harici Ekran Kartç,TN,11.Nesil,1155G7,Windows 11 Home,Var,1,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
